model,Geological Group ID,target,cv_block,model_score,model_score_mean_sensitivity,model_score_sd,score_type,positive_vote_fraction,prediction
XGBoost,GG0023,0,CVB0020,0.023387467488646507,0.03849596359456579,0.036077081971283606,predict_proba,0.0,0
XGBoost,GG0024,0,CVB0021,0.1683991402387619,0.24224832405646643,0.1706524593930254,predict_proba,0.3333333333333333,0
XGBoost,GG0025,1,CVB0022,0.8227010071277618,0.8406078020731608,0.04280658886618028,predict_proba,1.0,1
XGBoost,GG0026,1,CVB0023,0.07273246720433235,0.06904056978722413,0.0277239666497853,predict_proba,0.0,0
XGBoost,GG0027,0,CVB0024,0.001821089768782258,0.01241482588617752,0.01853529656329667,predict_proba,0.0,0
XGBoost,GG0028,1,CVB0025,0.29686808586120605,0.2861839383840561,0.12271057478742635,predict_proba,0.6666666666666666,1
XGBoost,GG0029,0,CVB0026,0.001134723424911499,0.0010269454505760223,0.0006170057669467323,predict_proba,0.0,0
XGBoost,GG0030,0,CVB0027,0.003899628296494484,0.004232835878307621,0.002005505465478657,predict_proba,0.0,0
XGBoost,GG0031,0,CVB0028,0.00967601255979389,0.013010146523204943,0.008166129919833611,predict_proba,0.0,0
XGBoost,GG0032,0,CVB0029,0.020314106717705727,0.06277737611283858,0.08381514267097512,predict_proba,0.0,0
XGBoost,GG0034,1,CVB0031,0.636449933052063,0.5580442845821381,0.16518004164868305,predict_proba,1.0,1
XGBoost,GG0035,1,CVB0032,0.1975325345993042,0.21876006262997785,0.19089372160692056,predict_proba,0.3333333333333333,0
XGBoost,GG0036,0,CVB0033,0.010454208124428988,0.012144591038425764,0.005049010315154984,predict_proba,0.0,0
XGBoost,GG0037,0,CVB0034,0.003381314338184893,0.009740941944376877,0.011960964993135984,predict_proba,0.0,0
XGBoost,GG0038,1,CVB0035,0.6971415281295776,0.6720735927422842,0.07164515038080346,predict_proba,1.0,1
XGBoost,GG0039,0,CVB0036,0.18673771619796753,0.19186540941397348,0.04435232353861946,predict_proba,0.0,0
XGBoost,GG0040,0,CVB0037,0.0002865968563128263,0.009752545859858705,0.016529933931805203,predict_proba,0.0,0
XGBoost,GG0041,1,CVB0038,0.7802271842956543,0.7969412604967753,0.030985426260900336,predict_proba,1.0,1
XGBoost,GG0042,1,CVB0039,0.05627857521176338,0.0888877809047699,0.08168803501280171,predict_proba,0.0,0
XGBoost,GG0043,1,CVB0040,0.764604777097702,0.8027703662713369,0.12316478738799076,predict_proba,1.0,1
XGBoost,GG0044,0,CVB0010,0.9247075617313385,0.9365336894989014,0.0238864434120014,predict_proba,1.0,1
XGBoost,GG0045,1,CVB0041,0.6503052711486816,0.5516905685265859,0.2178078611062046,predict_proba,0.6666666666666666,1
XGBoost,GG0046,1,CVB0042,0.6788123548030853,0.6523047238588333,0.10008686266661682,predict_proba,1.0,1
XGBoost,GG0047,1,CVB0043,0.940498948097229,0.9302363991737366,0.019320312314662857,predict_proba,1.0,1
XGBoost,GG0048,1,CVB0044,0.006561941234394908,0.013806528295390308,0.014636123225882943,predict_proba,0.0,0
XGBoost,GG0049,1,CVB0045,0.7444203794002533,0.7795799473921458,0.07567828771466915,predict_proba,1.0,1
XGBoost,GG0050,1,CVB0046,0.8603455722332001,0.832279215256373,0.14321362127583392,predict_proba,1.0,1
XGBoost,GG0051,1,CVB0047,0.7229850888252258,0.6726558804512024,0.13209382728291236,predict_proba,1.0,1
XGBoost,GG0052,1,CVB0048,0.9332626461982727,0.8196328083674113,0.20299585334913522,predict_proba,1.0,1
XGBoost,GG0053,1,CVB0049,0.5628208518028259,0.49158793687820435,0.19441898903742744,predict_proba,1.0,1
XGBoost,GG0054,1,CVB0050,0.7343222498893738,0.6945718924204508,0.0926474424994724,predict_proba,1.0,1
XGBoost,GG0055,0,CVB0051,0.06045127660036087,0.11799080421527226,0.1068568312846195,predict_proba,0.3333333333333333,0
XGBoost,GG0056,1,CVB0052,0.026921221986413002,0.03031270143886407,0.017068697096545675,predict_proba,0.0,0
XGBoost,GG0057,1,CVB0053,0.7174994349479675,0.7124854276577631,0.17342664539050437,predict_proba,0.6666666666666666,1
XGBoost,GG0058,1,CVB0054,0.4696038067340851,0.5095893839995066,0.1285540847782269,predict_proba,1.0,1
XGBoost,GG0059,1,CVB0055,0.7896480560302734,0.6519725422064463,0.25497339394778273,predict_proba,1.0,1
XGBoost,GG0061,1,CVB0057,0.6461233496665955,0.6474076509475708,0.15283741942857698,predict_proba,1.0,1
XGBoost,GG0062,1,CVB0058,0.028622977435588837,0.033291952684521675,0.0132974096927046,predict_proba,0.0,0
XGBoost,GG0064,1,CVB0060,0.9611086249351501,0.9465967019399008,0.027525655731497026,predict_proba,1.0,1
XGBoost,GG0065,0,CVB0061,0.0002668546512722969,0.00032550499114828807,0.0002198325263810022,predict_proba,0.0,0
XGBoost,GG0066,0,CVB0062,0.3697233200073242,0.3262989322344462,0.17389014194493832,predict_proba,0.3333333333333333,0
XGBoost,GG0067,0,CVB0063,0.18124796450138092,0.19652539988358816,0.13935658555860106,predict_proba,0.0,0
XGBoost,GG0068,0,CVB0064,0.10403154045343399,0.11225355292359988,0.05948287909785824,predict_proba,0.0,0
XGBoost,GG0069,0,CVB0065,0.2582787945866585,0.231742512434721,0.11287758930763091,predict_proba,0.3333333333333333,0
XGBoost,GG0070,0,CVB0066,0.0015924260951578617,0.003930297233940412,0.004057350650788879,predict_proba,0.0,0
XGBoost,GG0071,0,CVB0067,0.2116682007908821,0.19807078316807747,0.07012836125605065,predict_proba,0.0,0
XGBoost,GG0072,0,CVB0068,0.1263413242995739,0.12257485712567966,0.013469707381649477,predict_proba,0.0,0
XGBoost,GG0073,0,CVB0069,0.02281350828707218,0.02415915330251058,0.004935634036392454,predict_proba,0.0,0
XGBoost,GG0074,0,CVB0070,0.008095541037619114,0.04897488067702701,0.0764191789332656,predict_proba,0.0,0
XGBoost,GG0075,0,CVB0071,0.17629499500617385,0.18141170569773143,0.0925111295399013,predict_proba,0.0,0
XGBoost,GG0076,0,CVB0072,0.8049400746822357,0.8108808298905691,0.017595422037885756,predict_proba,1.0,1
XGBoost,GG0077,0,CVB0073,0.08061050623655319,0.07553681048254172,0.06579288724691998,predict_proba,0.0,0
